CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
三门峡,15427-129,15516-129,71,6.11,5.33,110,7810
三门峡,15427-129,15427-128,58,7.9,5.23,8984,521072
三门峡,15427-129,15334-129,57,7.81,6.71,52,2964
三门峡,15427-129,273929-129,54,8.56,4.37,64,3456
三门峡,15427-129,15487-129,53,8.58,6.48,38,2014
三门峡,15427-129,15307-130,52,8.66,8.85,58,3016
三门峡,15427-129,124681-0,52,8.73,6.76,146,7592
三门峡,15427-129,259584-3,52,8.67,5.41,4637,241124
三门峡,15427-129,253929-1,33,11.84,6.52,642,21186
三门峡,15427-129,259598-1,30,12.82,7.4,310,9300
三门峡,15427-129,253949-2,29,12.73,6.7,294,8526
三门峡,15427-129,47469-2,22,13.01,5.23,1048,23056
三门峡,15427-129,259584-1,17,15.04,6.45,158,2686
三门峡,15427-129,124711-2,7,17.47,5.8,1349,9443
三门峡,15427-129,15113-130,5,17,4.94,38,190
三门峡,15472-128,47440-2,100,2.55,2.48,524,52400
三门峡,15472-128,259595-0,100,2.66,1.77,300,30000
三门峡,15472-128,15336-128,100,-3.89,1.58,70,7000
三门峡,15472-128,253798-2,99,1.7,3.24,1465,145035
三门峡,15472-128,259598-1,96,2.38,3.85,462,44352
三门峡,15472-128,259655-0,96,3.09,3.34,452,43392
三门峡,15472-128,124815-1,95,2.26,4.09,106,10070
三门峡,15472-128,124672-0,94,3.6,3.54,715,67210
三门峡,15472-128,47434-2,93,2.81,4.17,146,13578
三门峡,15472-128,259598-0,93,2.62,4.25,112,10416
三门峡,15472-128,15512-128,92,1.66,5.26,276,25392
三门峡,15472-128,15290-129,91,2.54,4.71,474,43134
三门峡,15472-128,15336-129,91,2.42,4.99,1156,105196
三门峡,15472-128,253789-1,91,2.91,4.59,64,5824
三门峡,15472-128,15112-128,88,3.69,4.48,160,14080
三门峡,15472-128,15313-129,88,2.82,5.36,330,29040
三门峡,15472-128,124674-0,87,3.85,4.53,8665,753855
三门峡,15472-128,259598-2,85,3.47,5.41,3658,310930
三门峡,15472-128,124674-1,81,5.02,4.5,7087,574047
三门峡,15472-128,15429-129,81,4.62,4.94,964,78084
三门峡,15472-128,124813-0,79,5.26,4.73,10838,856202
三门峡,15472-128,253789-2,78,5.28,4.88,3731,291018
三门峡,15472-128,15582-128,77,5.15,5.29,55719,4290363
三门峡,15472-128,5681-129,74,5.94,4.68,2499,184926
三门峡,15472-128,47441-1,72,5.22,6.62,1462,105264
三门峡,15472-128,124672-1,71,6.23,4.95,608,43168
三门峡,15472-128,47446-2,66,6.41,6.14,6222,410652
三门峡,15472-128,15510-128,64,6.77,6.36,9983,638912
三门峡,15472-128,15562-128,63,6.85,6.68,260,16380
三门峡,15472-128,253905-0,62,7.4,5.27,70,4340
三门峡,15472-128,15315-129,61,7.38,5.7,162,9882
三门峡,15472-128,47433-1,61,7.46,5.31,136,8296
三门峡,15472-128,5681-128,59,7.7,5.66,196,11564
三门峡,15472-128,253819-1,57,7.53,7.94,556,31692
三门峡,15472-128,15472-130,51,8.87,5.9,74387,3793737
三门峡,15472-128,124687-1,51,8.83,6.88,92,4692
三门峡,15472-128,15582-129,50,9.01,6.85,113355,5667750
三门峡,15472-128,15583-129,49,9.1,6.92,498,24402
三门峡,15472-128,253794-0,48,9.32,7.56,56,2688
三门峡,15472-128,253940-2,45,9.91,7.52,88,3960
三门峡,15472-128,259655-2,43,10.12,6.65,2941,126463
三门峡,15472-128,7203-128,42,10.39,6.68,30401,1276842
三门峡,15472-128,259654-2,42,10.14,5.45,348,14616
三门峡,15472-128,15472-129,35,12.12,8.06,13292,465220
三门峡,15472-128,15476-128,35,11.77,7.24,9998,349930
三门峡,15472-128,259654-0,35,11.19,5.77,709,24815
三门峡,15472-128,15474-128,28,13.4,7.42,2009,56252
三门峡,15472-128,47444-2,25,12.78,5.72,3102,77550
三门峡,15472-128,124813-2,22,13.29,5.67,5836,128392
三门峡,15472-128,124695-1,21,13.85,6.11,1178,24738
三门峡,15472-128,253821-1,15,20.75,11.17,261,3915
三门峡,15472-128,253927-0,7,16.36,4.89,72,504
三门峡,15472-128,253796-2,6,15.88,4.32,68,408
三门峡,15472-128,253901-1,3,20.81,6.38,52,156
三门峡,15472-128,253768-0,1,19.88,4.38,1194,1194
三门峡,15472-128,253916-0,0,19.84,4.07,64,0
三门峡,15472-128,47433-0,0,23.18,5.07,78,0
三门峡,15472-128,253891-1,0,21.35,3.79,1724,0
三门峡,15472-129,124694-1,97,4.24,2.61,1108,107476
三门峡,15472-129,15336-129,95,2.08,4.28,160,15200
三门峡,15472-129,253901-0,95,1.04,4.77,408,38760
三门峡,15472-129,7202-129,94,2.67,4.14,774,72756
三门峡,15472-129,15580-129,94,-0.21,6.05,78,7332
三门峡,15472-129,253802-1,93,1.98,4.71,878,81654
三门峡,15472-129,124812-2,92,5.04,2.79,831,76452
三门峡,15472-129,253932-1,90,2.46,5.18,78,7020
三门峡,15472-129,124911-0,90,5.13,3.02,78,7020
三门峡,15472-129,259595-1,89,4.62,3.52,160,14240
三门峡,15472-129,47444-0,88,4.01,4.32,220,19360
三门峡,15472-129,15583-129,88,4.68,3.73,1420,124960
三门峡,15472-129,15290-128,86,2.46,6.01,566,48676
三门峡,15472-129,5681-128,86,2.43,6.12,244,20984
三门峡,15472-129,15472-130,85,3.86,5.06,8141,691985
三门峡,15472-129,259654-1,84,5.37,3.71,867,72828
三门峡,15472-129,253798-2,84,5.62,3.33,1183,99372
三门峡,15472-129,7202-130,82,5.19,4.15,5699,467318
三门峡,15472-129,124673-0,81,5.11,4.36,72,5832
三门峡,15472-129,5662-128,80,6.32,3.15,74,5920
三门峡,15472-129,7204-128,80,2.88,7.37,66,5280
三门峡,15472-129,259654-0,77,5.39,4.86,135785,10455445
三门峡,15472-129,15290-129,76,5.63,4.81,550,41800
三门峡,15472-129,253905-0,75,4.81,6.29,128,9600
三门峡,15472-129,124694-0,75,4.74,6.28,106,7950
三门峡,15472-129,15582-128,73,5.96,4.97,7163,522899
三门峡,15472-129,15476-128,72,5.51,5.87,4384,315648
三门峡,15472-129,259655-1,72,6.41,4.55,27060,1948320
三门峡,15472-129,124683-2,71,5.74,5.8,384,27264
三门峡,15472-129,7202-128,70,6.05,5.63,200,14000
三门峡,15472-129,124813-2,69,6.43,5.25,2407,166083
三门峡,15472-129,259654-2,68,6.56,5.37,19239,1308252
三门峡,15472-129,259598-1,67,5.61,7.7,66,4422
三门峡,15472-129,253822-0,66,6.44,6.23,54,3564
三门峡,15472-129,259595-2,66,6.91,5.19,33526,2212716
三门峡,15472-129,124813-0,65,6.8,5.71,78286,5088590
三门峡,15472-129,259655-2,65,6.92,5.24,43294,2814110
三门峡,15472-129,124687-1,61,7.42,5.42,378,23058
三门峡,15472-129,15510-128,61,7.58,5.31,9581,584441
三门峡,15472-129,259655-0,59,7.67,5.54,430,25370
三门峡,15472-129,47444-2,58,7.83,5.62,16674,967092
三门峡,15472-129,15582-129,58,7.71,6.15,16631,964598
三门峡,15472-129,259598-2,57,7.83,6.48,3527,201039
三门峡,15472-129,5681-129,57,7.91,5.82,476,27132
三门峡,15472-129,253789-1,57,8,5.36,438,24966
三门峡,15472-129,253932-0,56,7.17,11.41,280,15680
三门峡,15472-129,15474-128,54,8.41,5.79,98,5292
三门峡,15472-129,124674-1,52,8.67,6.1,3300,171600
三门峡,15472-129,124695-1,52,8.72,5.05,628,32656
三门峡,15472-129,7203-128,49,9.1,7.24,1880,92120
三门峡,15472-129,253789-2,48,9.25,5.93,3546,170208
三门峡,15472-129,124711-2,46,9.67,6.96,5095,234370
三门峡,15472-129,253934-2,45,9.7,5.67,3010,135450
三门峡,15472-129,47446-2,45,9.68,5.83,1454,65430
三门峡,15472-129,253819-1,33,11.49,5.76,1009,33297
三门峡,15472-129,15313-129,30,11.05,3.97,560,16800
三门峡,15472-129,47433-1,29,12.16,5.75,62,1798
三门峡,15472-129,15472-128,28,12.35,5.78,10447,292516
三门峡,15472-129,7206-130,27,12.47,5.61,60,1620
三门峡,15472-129,47441-1,27,12.14,5.21,477,12879
三门峡,15472-129,253791-1,19,11.55,2.92,166,3154
三门峡,15472-129,253784-1,18,13.32,4.74,98,1764
三门峡,15472-129,253799-2,4,17.23,4.83,248,992
三门峡,15472-129,253901-2,3,21.82,6.69,87,261
三门峡,15472-129,253805-0,0,23.9,3.53,158,0
三门峡,15472-129,253821-0,0,23.65,3.14,69,0
三门峡,15472-129,253891-0,0,19.83,3.86,348,0
三门峡,15472-129,15471-129,0,22.72,4.14,123,0
三门峡,15472-129,15470-130,0,26.04,4.02,221,0
三门峡,15472-130,253816-1,97,1.78,3.87,72,6984
三门峡,15472-130,253790-0,95,5.28,2.22,78,7410
三门峡,15472-130,253780-2,95,1.84,4.41,64,6080
三门峡,15472-130,253798-2,92,3.73,3.83,328,30176
三门峡,15472-130,253783-0,90,3.15,4.56,1306,117540
三门峡,15472-130,253788-0,90,3.94,3.87,310,27900
三门峡,15472-130,253785-2,89,3.56,4.5,683,60787
三门峡,15472-130,253780-0,89,3.21,4.71,96,8544
三门峡,15472-130,253788-2,89,3.14,4.87,218,19402
三门峡,15472-130,15560-129,87,3.15,5.11,52,4524
三门峡,15472-130,7203-129,87,4.7,3.8,10091,877917
三门峡,15472-130,253774-0,87,4.01,4.45,204,17748
三门峡,15472-130,253797-1,87,3.4,4.93,832,72384
三门峡,15472-130,253780-1,86,3.2,5.39,744,63984
三门峡,15472-130,253783-2,84,3.5,5.56,144,12096
三门峡,15472-130,15562-128,84,4.9,4.14,1030,86520
三门峡,15472-130,253783-1,84,4.23,4.71,860,72240
三门峡,15472-130,124672-2,83,3.18,6.01,615,51045
三门峡,15472-130,253773-2,82,6.03,3.31,60,4920
三门峡,15472-130,253804-1,80,5.61,4.01,124,9920
三门峡,15472-130,7203-130,80,4.82,4.87,14845,1187600
三门峡,15472-130,253820-2,79,5.24,4.73,1084,85636
三门峡,15472-130,47446-0,79,5.85,3.97,65,5135
三门峡,15472-130,15315-129,76,5.47,5.09,273,20748
三门峡,15472-130,253820-0,76,5.31,5.18,1562,118712
三门峡,15472-130,124672-1,74,6.24,4.37,68,5032
三门峡,15472-130,15474-128,74,6.01,4.61,15673,1159802
三门峡,15472-130,253799-2,74,5.88,4.75,66,4884
三门峡,15472-130,124815-2,71,5.69,5.93,122,8662
三门峡,15472-130,253804-0,70,5.34,6.93,82,5740
三门峡,15472-130,15112-128,70,6.36,5.09,78,5460
三门峡,15472-130,253794-0,69,6.12,5.92,2925,201825
三门峡,15472-130,15471-129,68,6.81,4.61,593,40324
三门峡,15472-130,253794-1,67,6.16,6.53,100,6700
三门峡,15472-130,253785-0,67,6.35,6.13,3611,241937
三门峡,15472-130,124694-2,66,6.87,5.15,1598,105468
三门峡,15472-130,253772-0,65,6.58,6.41,80,5200
三门峡,15472-130,47444-2,63,7.16,5.66,4085,257355
三门峡,15472-130,253797-0,63,6.96,5.96,2424,152712
三门峡,15472-130,253799-0,62,7.47,4.88,118,7316
三门峡,15472-130,47446-2,60,7.34,6.37,9972,598320
三门峡,15472-130,7204-128,59,7.46,6.63,5767,340253
三门峡,15472-130,124813-1,57,8.13,5.2,3021,172197
三门峡,15472-130,253797-2,57,7.87,6.41,2106,120042
三门峡,15472-130,15474-130,56,8.08,5.65,3485,195160
三门峡,15472-130,5681-129,55,7.94,8,210,11550
三门峡,15472-130,253820-1,54,8.23,7.69,1157,62478
三门峡,15472-130,15583-128,53,8.66,5.09,464,24592
三门峡,15472-130,253794-2,52,8.74,5.52,140,7280
三门峡,15472-130,15510-128,47,9.45,6.5,3160,148520
三门峡,15472-130,15582-128,47,9.43,5.64,136,6392
三门峡,15472-130,259598-2,45,9.8,6.61,6471,291195
三门峡,15472-130,124674-1,44,9.84,5.62,140,6160
三门峡,15472-130,15512-128,44,10.09,6.95,304,13376
三门峡,15472-130,124695-1,44,10.05,7.37,702,30888
三门峡,15472-130,7203-128,44,10.02,6.34,79117,3481148
三门峡,15472-130,253819-1,41,9.92,4.2,246,10086
三门峡,15472-130,253789-1,40,10.81,6.85,62,2480
三门峡,15472-130,15472-129,40,10.7,6.77,14691,587640
三门峡,15472-130,253791-2,39,10.58,5.91,66,2574
三门峡,15472-130,124687-1,38,10.88,6.43,686,26068
三门峡,15472-130,124813-0,37,11.08,6.17,263,9731
三门峡,15472-130,124813-2,36,11.59,7.44,17995,647820
三门峡,15472-130,47441-1,35,12.35,8.46,531,18585
三门峡,15472-130,15582-129,33,12.03,6.91,30825,1017225
三门峡,15472-130,124916-1,31,11.14,4.2,132,4092
三门峡,15472-130,253784-0,28,10.41,2.39,78,2184
三门峡,15472-130,15313-129,27,13.09,6.53,154,4158
三门峡,15472-130,253818-0,25,13.47,6.5,116,2900
三门峡,15472-130,15476-128,21,13.9,6.15,3118,65478
三门峡,15472-130,253789-2,20,13.5,5.36,140,2800
三门峡,15472-130,259654-2,19,13.44,5.09,110,2090
三门峡,15472-130,253796-0,18,12.43,3.75,115,2070
三门峡,15472-130,15583-129,13,15.59,5.73,118,1534
三门峡,15472-130,15472-128,10,17.84,7.03,6728,67280
三门峡,15476-128,253792-0,100,0.92,2.99,16145,1614500
三门峡,15476-128,253797-0,99,1.59,3.33,265,26235
三门峡,15476-128,253785-0,99,1.61,3.31,98,9702
三门峡,15476-128,253894-0,98,1.78,3.49,154,15092
三门峡,15476-128,15294-129,98,4.32,2.19,62,6076
三门峡,15476-128,124911-0,97,0.66,4.55,22980,2229060
三门峡,15476-128,253788-0,96,2.13,3.98,514,49344
三门峡,15476-128,253820-1,96,1.99,4.07,136,13056
三门峡,15476-128,47432-1,96,1.64,4.3,138,13248
三门峡,15476-128,124813-2,96,-1.08,5.67,100,9600
三门峡,15476-128,5662-130,96,1.35,4.33,1398,134208
三门峡,15476-128,253816-0,96,0.02,5.06,106,10176
三门峡,15476-128,253806-0,95,2.06,4.16,1671,158745
三门峡,15476-128,253780-0,95,-0.27,5.55,216,20520
三门峡,15476-128,253806-2,94,2.08,4.4,1111,104434
三门峡,15476-128,253811-0,94,2.03,4.46,7037,661478
三门峡,15476-128,124911-2,94,0.78,5.2,6407,602258
三门峡,15476-128,124694-2,93,1.86,4.8,712,66216
三门峡,15476-128,253783-2,93,3.12,4.02,235,21855
三门峡,15476-128,253799-0,93,2.62,4.35,1018,94674
三门峡,15476-128,15310-130,93,2.53,4.38,4367,406131
三门峡,15476-128,124809-0,93,2.22,4.64,1116,103788
三门峡,15476-128,15292-129,93,1.57,5.01,3085,286905
三门峡,15476-128,47459-0,93,2.76,4.27,10123,941439
三门峡,15476-128,15583-128,93,3.28,3.89,1685,156705
三门峡,15476-128,15562-128,92,1.99,5.09,261,24012
三门峡,15476-128,253799-2,92,1.9,4.99,121,11132
三门峡,15476-128,253807-0,92,1.72,5.3,86,7912
三门峡,15476-128,47432-0,92,2.22,4.87,181,16652
三门峡,15476-128,124814-0,92,1.33,5.47,104,9568
三门峡,15476-128,259659-0,92,1.24,5.63,444,40848
三门峡,15476-128,253820-0,91,1.07,5.89,90,8190
三门峡,15476-128,253773-2,91,-0.37,6.94,136,12376
三门峡,15476-128,124912-0,91,1.59,5.63,376,34216
三门峡,15476-128,124814-1,91,1.85,5.44,148,13468
三门峡,15476-128,253791-2,91,2.73,4.63,694,63154
三门峡,15476-128,5662-128,91,0.62,6.19,1090,99190
三门峡,15476-128,273936-129,91,1.95,5.31,248,22568
三门峡,15476-128,253795-1,91,3.82,3.83,284,25844
三门峡,15476-128,253806-1,91,3.21,4.31,2817,256347
三门峡,15476-128,15512-128,91,2.98,4.48,1285,116935
三门峡,15476-128,253890-0,91,5.43,2.64,150,13650
三门峡,15476-128,47459-2,91,2.69,4.67,10500,955500
三门峡,15476-128,15474-129,90,2.34,5.11,890,80100
三门峡,15476-128,15332-129,90,3.68,4.18,210,18900
三门峡,15476-128,253938-0,90,2.14,5.44,2803,252270
三门峡,15476-128,124809-2,89,-0.15,7.44,890,79210
三门峡,15476-128,253796-0,89,2.74,5.17,3616,321824
三门峡,15476-128,273936-130,89,3.26,4.59,222,19758
三门峡,15476-128,124808-1,89,3.73,4.33,438,38982
三门峡,15476-128,253803-0,89,2.93,4.92,614,54646
三门峡,15476-128,15121-128,89,3.33,4.62,12448,1107872
三门峡,15476-128,7401-128,89,3.41,4.56,206,18334
三门峡,15476-128,15125-130,89,3.47,4.5,6553,583217
三门峡,15476-128,15290-129,89,2.77,5.15,3004,267356
三门峡,15476-128,253821-0,89,3.38,4.5,4860,432540
三门峡,15476-128,15474-130,89,1.75,5.98,1108,98612
三门峡,15476-128,15474-128,88,2.18,5.7,412,36256
三门峡,15476-128,253780-1,88,2.47,5.5,208,18304
三门峡,15476-128,15583-129,88,2.45,5.51,4223,371624
三门峡,15476-128,124808-2,88,1.65,6.37,246,21648
三门峡,15476-128,15121-130,88,1.55,6.25,4524,398112
三门峡,15476-128,124694-1,88,2.83,5.24,924,81312
三门峡,15476-128,253774-0,88,3.97,4.2,286,25168
三门峡,15476-128,253811-1,88,2.34,5.56,659,57992
三门峡,15476-128,253913-2,88,2.79,5.28,634,55792
三门峡,15476-128,253919-2,87,2.88,5.43,256,22272
三门峡,15476-128,124813-1,87,0.72,7.25,159,13833
三门峡,15476-128,259598-0,87,2.86,5.41,1555,135285
三门峡,15476-128,15318-129,87,3.04,5.32,5961,518607
三门峡,15476-128,253796-2,87,3.98,4.42,3397,295539
三门峡,15476-128,253905-2,87,2.4,5.76,342,29754
三门峡,15476-128,7401-130,87,2.87,5.47,11108,966396
三门峡,15476-128,7204-128,87,2.32,5.88,182,15834
三门峡,15476-128,253818-0,87,3.59,4.79,902,78474
三门峡,15476-128,253798-2,86,3.05,5.57,2543,218698
三门峡,15476-128,124683-2,86,3.11,5.51,2110,181460
三门峡,15476-128,15125-128,86,3.22,5.28,1970,169420
三门峡,15476-128,15506-129,86,3.72,4.89,486,41796
三门峡,15476-128,253814-2,86,4.71,4.01,56,4816
三门峡,15476-128,47444-0,86,3.05,5.42,2581,221966
三门峡,15476-128,15310-128,86,4.04,4.59,52229,4491694
三门峡,15476-128,253783-0,86,3.87,4.7,568,48848
三门峡,15476-128,253771-0,86,3.04,5.45,27459,2361474
三门峡,15476-128,15310-129,86,0.59,7.73,11019,947634
三门峡,15476-128,15292-128,85,2.82,5.93,1224,104040
三门峡,15476-128,47459-1,85,4.17,4.69,7027,597295
三门峡,15476-128,253786-0,85,3.44,5.36,4027,342295
三门峡,15476-128,15513-128,85,3.62,5.17,35662,3031270
三门峡,15476-128,253815-2,85,3.6,5.22,4823,409955
三门峡,15476-128,259654-2,85,2.71,6.04,2964,251940
三门峡,15476-128,15292-130,85,3.08,5.71,7282,618970
三门峡,15476-128,273936-128,85,2.22,6.63,414,35190
三门峡,15476-128,253784-0,85,4.23,4.58,120,10200
三门峡,15476-128,253792-2,85,4.12,4.72,22620,1922700
三门峡,15476-128,259659-2,85,3.36,5.44,537,45645
三门峡,15476-128,253821-1,84,3.47,5.56,908,76272
三门峡,15476-128,124683-1,84,2.16,6.75,429,36036
三门峡,15476-128,124812-2,84,2.67,6.46,2438,204792
三门峡,15476-128,47444-2,84,2.57,6.39,3281,275604
三门峡,15476-128,7202-128,84,4.3,4.74,1599,134316
三门峡,15476-128,124695-1,83,3.8,5.5,5287,438821
三门峡,15476-128,124812-1,83,3.73,5.59,15824,1313392
三门峡,15476-128,15121-129,83,4.26,4.98,13350,1108050
三门峡,15476-128,15322-130,83,3.6,5.66,1908,158364
三门峡,15476-128,259659-1,83,2.81,6.49,160,13280
三门峡,15476-128,253788-1,82,5.49,3.77,86,7052
三门峡,15476-128,259654-0,82,3.98,5.46,1604,131528
三门峡,15476-128,253779-2,82,4.77,4.61,5136,421152
三门峡,15476-128,253791-0,82,4.46,4.99,1386,113652
三门峡,15476-128,253771-1,82,4.3,5.06,7331,601142
三门峡,15476-128,238379-2,82,3.94,5.62,2473,202786
三门峡,15476-128,253786-2,82,4.08,5.4,2272,186304
三门峡,15476-128,124683-0,81,3.57,6.11,723,58563
三门峡,15476-128,15511-129,81,4.64,5.07,8705,705105
三门峡,15476-128,259654-1,81,2.86,7.02,234,18954
三门峡,15476-128,15511-128,81,5.07,4.51,230,18630
三门峡,15476-128,15581-128,81,4.13,5.53,122,9882
三门峡,15476-128,253815-1,81,3.31,6.57,1043,84483
三门峡,15476-128,124694-0,81,3.24,6.52,1713,138753
三门峡,15476-128,253901-2,80,4.19,5.68,5187,414960
三门峡,15476-128,253908-1,80,4.62,5.24,58,4640
三门峡,15476-128,259598-1,80,3.49,6.54,18577,1486160
三门峡,15476-128,124912-1,80,5.37,4.4,4451,356080
三门峡,15476-128,7202-129,80,4.07,5.91,84,6720
三门峡,15476-128,253807-2,80,4.37,5.56,596,47680
三门峡,15476-128,253816-1,80,4.95,4.75,5777,462160
三门峡,15476-128,253893-1,80,3.61,6.48,318,25440
三门峡,15476-128,253804-2,80,4.76,5.08,566,45280
三门峡,15476-128,124677-2,79,5.56,4.35,9392,741968
三门峡,15476-128,253771-2,79,4.37,5.71,4373,345467
三门峡,15476-128,253901-0,79,5.4,4.56,418,33022
三门峡,15476-128,124911-1,79,3.15,7.18,14633,1156007
三门峡,15476-128,15510-128,79,4.74,5.39,26196,2069484
三门峡,15476-128,124813-0,79,3.89,6.45,2371,187309
三门峡,15476-128,124673-2,78,4.31,6,6833,532974
三门峡,15476-128,15473-128,78,5.03,5.25,727,56706
三门峡,15476-128,253772-0,78,4.68,5.54,3038,236964
三门峡,15476-128,7202-130,78,4.57,5.78,2277,177606
三门峡,15476-128,253792-1,78,5.32,4.76,9211,718458
三门峡,15476-128,124673-1,78,4.58,5.76,139,10842
三门峡,15476-128,15301-130,77,5.25,5.05,248,19096
三门峡,15476-128,15322-129,77,4.04,6.69,270,20790
三门峡,15476-128,47434-1,77,3.06,8.13,126,9702
三门峡,15476-128,259598-2,77,4.51,6.18,9572,737044
三门峡,15476-128,259660-2,77,4.96,5.44,100,7700
三门峡,15476-128,253789-0,77,5.19,5.15,86,6622
三门峡,15476-128,124673-0,76,4.5,6.34,355,26980
三门峡,15476-128,253780-2,76,4.97,5.75,242,18392
三门峡,15476-128,124711-2,76,4.56,6.15,1426,108376
三门峡,15476-128,15301-129,76,4.95,5.79,5574,423624
三门峡,15476-128,259723-0,76,4.81,5.98,8502,646152
三门峡,15476-128,253926-1,75,4.61,6.63,174,13050
三门峡,15476-128,253927-0,75,4.29,6.98,154,11550
三门峡,15476-128,253797-1,75,4.83,6.13,381,28575
三门峡,15476-128,253796-1,74,5.46,5.48,2490,184260
三门峡,15476-128,5641-128,74,4.44,7.15,64,4736
三门峡,15476-128,253909-2,74,3.89,7.76,106,7844
三门峡,15476-128,253800-0,74,4.41,7.3,68,5032
三门峡,15476-128,47433-0,74,5.56,5.25,1064,78736
三门峡,15476-128,253938-2,73,5.73,5.47,176,12848
三门峡,15476-128,15473-129,73,5.84,5.14,248,18104
三门峡,15476-128,253785-2,73,4.76,6.79,68,4964
三门峡,15476-128,47443-0,73,5.73,5.36,5191,378943
三门峡,15476-128,124812-0,73,5.22,6.06,7467,545091
三门峡,15476-128,253818-1,73,5.19,6.29,718,52414
三门峡,15476-128,253786-1,72,4.07,8.39,456,32832
三门峡,15476-128,253790-1,72,5.79,5.47,66,4752
三门峡,15476-128,7401-129,72,5.47,5.94,102,7344
三门峡,15476-128,124912-2,72,5.21,6.58,2035,146520
三门峡,15476-128,253815-0,72,5.72,5.73,1682,121104
三门峡,15476-128,124676-1,72,5.34,6.23,70,5040
三门峡,15476-128,124809-1,71,6.69,4.21,678,48138
三门峡,15476-128,47443-2,71,5.58,6.21,12643,897653
三门峡,15476-128,274161-129,71,6.38,4.8,196,13916
三门峡,15476-128,259660-1,71,6.32,4.87,62,4402
三门峡,15476-128,253919-0,71,4.73,7.88,82,5822
三门峡,15476-128,15477-130,71,6.5,4.51,135,9585
三门峡,15476-128,253811-2,71,6.14,5.16,341,24211
三门峡,15476-128,47433-1,70,5.61,6.4,186,13020
三门峡,15476-128,253791-1,70,5.59,6.54,992,69440
三门峡,15476-128,253922-0,70,6.05,5.5,148,10360
三门峡,15476-128,15311-130,69,5.99,6.21,3206,221214
三门峡,15476-128,5662-129,69,5.85,6.41,230,15870
三门峡,15476-128,124677-0,68,6.78,4.75,1341,91188
三门峡,15476-128,124712-2,68,6.15,5.98,323,21964
三门峡,15476-128,253934-2,68,5.86,6.71,274,18632
三门峡,15476-128,253903-2,67,6.1,6.78,398,26666
三门峡,15476-128,15125-129,66,6.64,5.67,5216,344256
三门峡,15476-128,253788-2,66,7.02,4.94,118,7788
三门峡,15476-128,253768-0,66,6.71,5.68,98,6468
三门峡,15476-128,253821-2,64,6.75,6.37,390,24960
三门峡,15476-128,124695-2,64,6.38,7.43,795,50880
三门峡,15476-128,15478-128,64,6.96,5.91,90,5760
三门峡,15476-128,253822-1,64,6.77,6.21,124,7936
三门峡,15476-128,253804-0,64,6.6,6.74,1746,111744
三门峡,15476-128,47434-2,64,6.57,6.56,11705,749120
三门峡,15476-128,15318-128,63,6.38,7.63,104,6552
三门峡,15476-128,253781-1,63,6.67,6.82,576,36288
三门峡,15476-128,15512-130,63,6.19,8.45,59,3717
三门峡,15476-128,15512-129,62,6.93,6.5,1372,85064
三门峡,15476-128,238379-1,62,7.37,5.52,226,14012
三门峡,15476-128,259779-0,62,7.3,5.4,178,11036
三门峡,15476-128,47444-1,61,7.53,5.06,4725,288225
三门峡,15476-128,15306-130,61,7.69,4.87,84,5124
三门峡,15476-128,253789-1,61,7.15,6.45,4144,252784
三门峡,15476-128,15318-130,60,7.45,6.06,596,35760
三门峡,15476-128,253773-0,60,7.59,5.79,64,3840
三门峡,15476-128,15513-130,59,7.51,6.69,31393,1852187
三门峡,15476-128,259682-0,59,7.06,8.65,172,10148
三门峡,15476-128,15479-129,57,8.03,5.8,148,8436
三门峡,15476-128,253907-2,55,8.32,4.92,150,8250
三门峡,15476-128,124677-1,51,8.78,6.25,16118,822018
三门峡,15476-128,15539-128,49,9.1,6.23,1826,89474
三门峡,15476-128,47432-2,49,9.21,9.49,66,3234
三门峡,15476-128,253913-1,47,9.55,6.67,2041,95927
三门峡,15476-128,253927-2,47,9.51,6.99,67,3149
三门峡,15476-128,253789-2,43,10.16,6.27,1030,44290
三门峡,15476-128,15476-129,40,11.04,8.13,2029,81160
三门峡,15476-128,124675-0,40,10.99,7.95,312,12480
三门峡,15476-128,253810-2,40,11.04,7.9,54,2160
三门峡,15476-128,259772-2,40,10.67,6.35,54,2160
三门峡,15476-128,15584-128,39,11.18,7.88,464,18096
三门峡,15476-128,15477-129,35,11.77,7.42,94,3290
三门峡,15476-128,253940-2,35,10.92,5.14,296,10360
三门峡,15476-128,124695-0,35,11.31,5.97,98,3430
三门峡,15476-128,124814-2,27,13.78,7.81,626,16902
三门峡,15476-128,259779-1,27,13.88,7.92,1170,31590
三门峡,15476-128,259723-1,22,14.22,6.63,69,1518
三门峡,15476-128,253798-0,16,16.96,7.86,459,7344
三门峡,15476-128,253784-2,15,15.81,6.48,62,930
三门峡,15476-128,15477-128,11,16.37,6.05,1185,13035
三门峡,15476-128,124817-2,9,18.43,7.12,452,4068
三门峡,15476-128,124675-1,9,15.58,5.01,128,1152
三门峡,15476-128,15476-130,1,19.79,4.85,2214,2214
三门峡,15476-128,253907-0,1,24.09,6.45,64,64
三门峡,15476-129,15513-129,96,2.36,3.72,94,9024
三门峡,15476-129,15478-130,95,0.34,5.27,321,30495
三门峡,15476-129,259713-1,95,0.5,5.28,595,56525
三门峡,15476-129,15311-129,94,0.42,5.66,356,33464
三门峡,15476-129,15294-129,94,0.67,5.32,296,27824
