CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
三门峡,124681-1,15115-130,85,4.43,4.5,204,17340
三门峡,124681-1,259721-2,83,2.64,6.56,216,17928
三门峡,124681-1,15293-129,83,3.93,5.27,152,12616
三门峡,124681-1,124713-0,82,5.63,3.64,1681,137842
三门峡,124681-1,47439-0,81,6.79,2.5,76,6156
三门峡,124681-1,253900-1,79,5.67,4.05,156,12324
三门峡,124681-1,253949-1,78,4.22,6.06,194,15132
三门峡,124681-1,253900-0,76,6.35,3.67,138,10488
三门峡,124681-1,124811-1,76,4.19,6.71,62,4712
三门峡,124681-1,15482-128,76,5.21,5.4,960,72960
三门峡,124681-1,253900-2,74,4.33,7.11,96,7104
三门峡,124681-1,15579-129,73,6.29,4.53,174,12702
三门峡,124681-1,259659-0,73,7.46,2.55,468,34164
三门峡,124681-1,15319-128,72,6.68,4.05,330,23760
三门峡,124681-1,15478-130,72,5.55,5.87,214,15408
三门峡,124681-1,15481-128,71,6.26,4.9,15980,1134580
三门峡,124681-1,124678-1,71,5.74,5.86,6577,466967
三门峡,124681-1,253922-0,71,5.71,5.92,56,3976
三门峡,124681-1,253922-1,70,6.49,4.82,5174,362180
三门峡,124681-1,124811-0,69,6.8,4.39,2820,194580
三门峡,124681-1,253914-0,68,6.07,6.3,150,10200
三门峡,124681-1,15293-130,67,6.03,6.67,754,50518
三门峡,124681-1,15482-130,67,6.23,6.22,884,59228
三门峡,124681-1,15307-128,66,6.27,6.48,6801,448866
三门峡,124681-1,15329-130,63,7.37,4.78,1762,111006
三门峡,124681-1,15339-129,60,7.53,6.01,2660,159600
三门峡,124681-1,259781-0,60,7.68,5.1,10160,609600
三门峡,124681-1,253821-2,58,7.84,5.79,63,3654
三门峡,124681-1,259654-0,53,8.49,8.05,86,4558
三门峡,124681-1,15301-128,46,9.57,6.02,23424,1077504
三门峡,124681-1,15307-130,46,9.59,5.72,61209,2815614
三门峡,124681-1,124924-2,45,9.77,5.94,1294,58230
三门峡,124681-1,259659-1,39,9.57,1.99,230,8970
三门峡,124681-1,124681-0,30,11.62,5.06,10475,314250
三门峡,124681-1,253940-2,27,12.73,6.04,2674,72198
三门峡,124681-1,259779-0,21,13.37,5.35,1752,36792
三门峡,124681-1,253786-1,20,14.22,6.16,108,2160
三门峡,124681-1,15480-128,18,14.62,6.21,52,936
三门峡,124681-1,259775-2,15,15.52,6.32,124,1860
三门峡,124681-1,273934-130,9,16.85,5.83,94,846
三门峡,124681-1,253909-0,3,18.49,5.19,102,306
三门峡,124681-1,47433-0,1,21.09,4.9,138,138
三门峡,124681-2,15481-129,99,2.69,2.81,52,5148
三门峡,124681-2,47432-2,97,1.77,3.83,104,10088
三门峡,124681-2,253940-1,96,3.17,3.42,202,19392
三门峡,124681-2,253906-0,93,2.82,4.23,88,8184
三门峡,124681-2,15322-128,93,0.97,5.32,76,7068
三门峡,124681-2,15301-130,92,3.26,4.16,4900,450800
三门峡,124681-2,15301-129,91,2.72,4.79,180,16380
三门峡,124681-2,15482-128,90,4.23,3.8,52,4680
三门峡,124681-2,253922-2,90,2,5.36,244,21960
三门峡,124681-2,15480-130,90,3.4,4.31,844,75960
三门峡,124681-2,15480-128,90,3.85,4.07,308,27720
三门峡,124681-2,124811-2,89,1.81,5.88,170,15130
三门峡,124681-2,253922-1,88,3.37,4.87,2484,218592
三门峡,124681-2,259654-2,88,2.61,5.35,422,37136
三门峡,124681-2,15329-130,87,3.08,5.23,338,29406
三门峡,124681-2,15481-128,86,4.42,4.29,2890,248540
三门峡,124681-2,259781-0,86,4.15,4.53,3194,274684
三门峡,124681-2,124678-1,85,3.73,5.09,970,82450
三门峡,124681-2,15480-129,85,4.79,4.08,1450,123250
三门峡,124681-2,15481-130,85,4.03,4.75,412,35020
三门峡,124681-2,259721-2,84,3.57,5.49,56,4704
三门峡,124681-2,47434-2,82,5.75,3.5,158,12956
三门峡,124681-2,15307-130,73,4.71,6.88,3966,289518
三门峡,124681-2,15294-129,70,5.94,5.84,64,4480
三门峡,124681-2,15293-130,69,5.43,7.13,244,16836
三门峡,124681-2,259659-1,68,8.11,1.96,548,37264
三门峡,124681-2,15482-130,65,6.73,6.08,156,10140
三门峡,124681-2,124681-0,63,7.15,5.65,82,5166
三门峡,124681-2,259659-0,52,8.87,2.31,380,19760
三门峡,124681-2,15301-128,49,9.18,6.26,106360,5211640
三门峡,124681-2,124681-1,47,9.47,5.89,78814,3704258
三门峡,124681-2,253940-2,37,11.31,6.83,2050,75850
三门峡,124681-2,259779-0,35,10.8,4.68,108,3780
三门峡,124681-2,15339-129,29,12.11,5.53,542,15718
三门峡,124681-2,259598-2,21,15.78,8.42,222,4662
三门峡,124681-2,259782-1,13,16.75,6.75,158,2054
三门峡,124681-2,253786-1,5,18.6,5.73,210,1050
三门峡,124683-0,15310-128,96,-1.15,5.83,238,22848
三门峡,124683-0,124672-0,90,3.94,3.92,70,6300
三门峡,124683-0,15324-130,89,3.9,4.19,312,27768
三门峡,124683-0,15336-128,88,4.09,4.19,286,25168
三门峡,124683-0,7202-128,84,4.66,4.31,82,6888
三门峡,124683-0,15582-128,83,4.45,4.76,394,32702
三门峡,124683-0,15562-128,80,5.62,4.03,84,6720
三门峡,124683-0,253819-1,80,4.1,5.88,6906,552480
三门峡,124683-0,15297-130,77,5.23,5.06,580,44660
三门峡,124683-0,15290-129,75,5.1,5.87,1604,120300
三门峡,124683-0,253779-1,73,6.23,4.45,272,19856
三门峡,124683-0,15336-129,73,5.57,5.72,42657,3113961
三门峡,124683-0,124687-1,69,6.12,5.86,632,43608
三门峡,124683-0,15339-129,68,6.75,4.94,950,64600
三门峡,124683-0,124683-2,67,6.49,5.54,2016,135072
三门峡,124683-0,15324-128,66,6.53,6.15,41271,2723886
三门峡,124683-0,15513-128,66,6.93,5,2988,197208
三门峡,124683-0,47440-0,66,6.65,5.61,858,56628
三门峡,124683-0,15476-128,63,6.81,6.64,7808,491904
三门峡,124683-0,15324-129,61,7.03,7.12,16508,1006988
三门峡,124683-0,273933-128,61,7.17,6.57,1356,82716
三门峡,124683-0,253917-2,60,7.58,5.77,5618,337080
三门峡,124683-0,273933-129,57,7.66,7.13,108280,6171960
三门峡,124683-0,47440-1,53,8.54,7.11,3196,169388
三门峡,124683-0,5681-129,53,8.52,5.61,4266,226098
三门峡,124683-0,253796-2,51,8.81,5.61,138,7038
三门峡,124683-0,15297-128,50,9.04,6.9,4648,232400
三门峡,124683-0,5681-128,41,10.22,5.53,548,22468
三门峡,124683-0,259655-2,38,10.91,6.11,896,34048
三门峡,124683-0,253940-2,37,11.16,6.27,5900,218300
三门峡,124683-0,15511-128,36,11.32,6.24,160,5760
三门峡,124683-0,259595-0,36,11.64,7.13,72,2592
三门峡,124683-0,238379-0,34,11.35,5.75,68,2312
三门峡,124683-0,259595-2,28,12.57,6.04,1862,52136
三门峡,124683-0,253789-2,25,13.7,7,80,2000
三门峡,124683-0,273928-130,25,14.2,7.73,782,19550
三门峡,124683-0,124694-2,16,12.51,3.58,158,2528
三门峡,124683-0,124683-1,8,16.8,5.67,7444,59552
三门峡,124683-1,5681-128,97,3.73,2.73,110,10670
三门峡,124683-1,124683-2,91,4.45,3.42,16712,1520792
三门峡,124683-1,5681-129,89,4.06,3.99,218,19402
三门峡,124683-1,273928-128,88,4.88,3.56,48,4224
三门峡,124683-1,15290-129,86,4.61,4.08,1474,126764
三门峡,124683-1,273933-128,86,3.88,4.74,100,8600
三门峡,124683-1,15336-129,83,6.68,2.41,332,27556
三门峡,124683-1,273928-130,82,4.67,4.65,42,3444
三门峡,124683-1,124687-1,75,5.49,5.28,152,11400
三门峡,124683-1,15513-128,75,4.92,6.14,410,30750
三门峡,124683-1,15583-129,73,5.56,5.51,36,2628
三门峡,124683-1,15476-128,72,4.7,7.4,798,57456
三门峡,124683-1,15324-128,72,4.95,7.07,1630,117360
三门峡,124683-1,124683-0,70,6.55,4.67,80,5600
三门峡,124683-1,253917-2,63,6.63,7.3,946,59598
三门峡,124683-1,124813-0,62,7,6.78,36,2232
三门峡,124683-1,253819-1,59,7.76,5.48,168,9912
三门峡,124683-1,253789-2,59,7.79,5.5,58,3422
三门峡,124683-1,273933-129,52,8.65,7.91,856,44512
三门峡,124683-1,47440-1,34,12.52,8.4,96,3264
三门峡,124683-2,253901-0,100,3.43,1.34,952,95200
三门峡,124683-2,259654-2,95,2.48,3.89,2466,234270
三门峡,124683-2,259655-0,93,3.21,3.87,548,50964
三门峡,124683-2,259595-2,93,3.26,3.91,1680,156240
三门峡,124683-2,15324-130,91,3.38,4.25,1134,103194
三门峡,124683-2,124687-1,90,2.32,5.12,590,53100
三门峡,124683-2,259595-1,90,2.39,5.17,6160,554400
三门峡,124683-2,124674-0,89,3.98,4.1,852,75828
三门峡,124683-2,124672-0,88,4.59,3.73,454,39952
三门峡,124683-2,47433-1,88,5.86,2.72,188,16544
三门峡,124683-2,124673-2,87,2.1,6.17,80,6960
三门峡,124683-2,47440-2,85,4.15,4.61,30840,2621400
三门峡,124683-2,47444-0,84,4.07,5,642,53928
三门峡,124683-2,15324-128,83,4.47,4.77,39925,3313775
三门峡,124683-2,15297-128,81,5.14,4.46,3298,267138
三门峡,124683-2,15324-129,81,4.54,5.04,566,45846
三门峡,124683-2,15472-129,80,3.93,5.91,282,22560
三门峡,124683-2,47440-0,80,5.51,4.15,358,28640
三门峡,124683-2,124813-0,79,4.73,5.34,1132,89428
三门峡,124683-2,15582-128,79,4.87,5.17,618,48822
三门峡,124683-2,15429-129,77,4.32,6.25,248,19096
三门峡,124683-2,273933-129,77,5.04,5.27,18170,1399090
三门峡,124683-2,15336-129,76,5.59,4.89,7967,605492
三门峡,124683-2,5691-128,76,4.32,6.72,68,5168
三门峡,124683-2,259595-0,75,5.66,4.96,16831,1262325
三门峡,124683-2,7202-130,73,5.07,6.53,356,25988
三门峡,124683-2,253934-2,71,4.69,7.6,84,5964
