ASSIGN_ID,EARFCN,SECTOR_ID,SECTOR_NAME,ENODEB_ID,PCI,PSS,SSS,LONGITUDE,LATITUDE,STYLE,OPT_DATETIME
10,38400,15514-130,三门峡义马东工地大剧院-HLHF-3,15514,153,0,51,111.92034,34.72557,宏站,2017/1/18 11:13
10,38400,15516-128,三门峡义马常村矿医院-HLHF-1,15516,148,1,49,111.918975,34.713737,宏站,2017/1/18 11:13
10,38400,15516-129,三门峡义马常村矿医院-HLHF-2,15516,149,2,49,111.918975,34.713737,宏站,2017/1/18 11:13
10,38400,15516-130,三门峡义马常村矿医院-HLHF-3,15516,147,0,49,111.918975,34.713737,宏站,2017/1/18 11:13
10,38400,15578-128,三门峡义马肉联厂-HLHF-1,15578,142,1,47,111.85339,34.75673,宏站,2017/1/18 11:13
10,38400,15578-129,三门峡义马肉联厂-HLHF-2,15578,141,0,47,111.85339,34.75673,宏站,2017/1/18 11:13
10,38400,15578-130,三门峡义马肉联厂-HLHF-3,15578,143,2,47,111.85339,34.75673,宏站,2017/1/18 11:13
10,38400,15579-128,三门峡义马机电厂-HLHF-1,15579,146,2,48,111.86067,34.74984,宏站,2017/1/18 11:13
10,38400,15579-129,三门峡义马机电厂-HLHF-2,15579,145,1,48,111.86067,34.74984,宏站,2017/1/18 11:13
10,38400,15579-130,三门峡义马机电厂-HLHF-3,15579,144,0,48,111.86067,34.74984,宏站,2017/1/18 11:13
10,38400,15592-128,三门峡义马石佛二-HLHF-1,15592,273,0,91,111.97001,34.70863,宏站,2017/1/18 11:13
10,38400,15592-129,三门峡义马石佛二-HLHF-2,15592,275,2,91,111.97001,34.70863,宏站,2017/1/18 11:13
10,38400,238397-0,三门峡义马新大楼-HLHF-1,238397,166,1,55,111.84204,34.75414,宏站,2017/1/18 11:13
10,38400,238397-1,三门峡义马新大楼-HLHF-2,238397,165,0,55,111.84204,34.75414,宏站,2017/1/18 11:13
10,38400,238397-2,三门峡义马新大楼-HLHF-3,238397,167,2,55,111.84204,34.75414,宏站,2017/1/18 11:13
10,38400,253890-0,三门峡义马大鸿泰美化塔-HLHF-1,253890,168,0,56,111.86336,34.75497,宏站,2017/1/18 11:13
10,38400,253890-1,三门峡义马大鸿泰美化塔-HLHF-2,253890,170,2,56,111.86336,34.75497,宏站,2017/1/18 11:13
10,38400,253890-2,三门峡义马大鸿泰美化塔-HLHF-3,253890,169,1,56,111.86336,34.75497,宏站,2017/1/18 11:13
10,38400,253891-0,三门峡义马电视台-HLHF-1,253891,164,2,54,111.87578,34.75127,宏站,2017/1/18 11:13
10,38400,253891-1,三门峡义马电视台-HLHF-2,253891,162,0,54,111.87578,34.75127,宏站,2017/1/18 11:13
10,38400,253891-2,三门峡义马电视台-HLHF-3,253891,163,1,54,111.87578,34.75127,宏站,2017/1/18 11:13
